	kvk_number	name	alternative_names	norms	websites	sbi_code	sbi_code_description	zipcode	city	segment	category	employees	created_at
0	37158900	Veiligheidsregio Noord-Holland Noord	['veiligheidsregio noord-holland noord']	['fire safety engineering']	www.vrnhn.nl,www.vrnhn.nl,www.vrnhn.nl,www.vrnhn.nl	8425	Brandweer	1823DL	Alkmaar	Overheid - decentraal	nan	0.0	2020-12-22T16:19:55.936049+01:00
1	51158957	GGD Noord- en Oost-Gelderland	['ggd noord- en oost-gelderland', 'ggd vestiging apeldoorggd noord- en oost-gelderland vestiging apeldoorggd gelre-ijssel']	['veilig tatoeëren en pmu']	www.ggdnog.nl,www.ggdnog.nl	86923	Preventieve gezondheidszorg (geen arbobegeleiding)	7231AC	Warnsveld	Overheid - decentraal	Controlerende instanties	0.0	2020-12-22T16:19:55.972605+01:00
2	40477167	Nederlandse Vereniging voor Pathologie	['nederlandse vereniging voor pathologie']	['begeleidingscommissie iso 15189']		9412	Beroepsorganisaties			Beroeps- en koepelorganisaties	Onderzoeks- en kennisinstellingen	0.0	2020-12-22T16:19:55.972684+01:00
3	18018770	bosch transmission technology	"[""bosch transmission technology an doorne's transmissie"", 'bosch transmission technology']"	['unknown']		2932	Vervaardiging van niet-elektrische en -elektronische onderdelen en toebehoren voor auto's	5026RA	Tilburg	nan	nan	1073.0	2020-12-22T16:19:55.972728+01:00
4	41167550	ggmd	['stichting bureau dienstverlening doven en slechthorende', 'stichting voor geestelijke gezondheidszorg en maatschappelijke dienstverlening voor doven en slechthorendestichting regionaal educatief centrum leiden   en omstrekestichting regionaal educatief centrum rijnstreek', 'ggmd voor doven en slechthorendeggmdds', 'ggmd', 'stichting bureau o & m']	['unknown']	www.ggmd.nl	87301	Huizen en dagverblijven voor niet-verstandelijk gehandicapten	3083AS	Rotterdam	nan	nan	0.0	2020-12-22T16:19:55.972772+01:00
5	30175547	intergo	['intergo']	['unknown']	www.intergo.nl	86922	Arbobegeleiding en reïntegratie	3811MB	Amersfoort	nan	nan	11.0	2020-12-22T16:19:55.972814+01:00
6	34270042	saund asset services	['escoplan management en finance', 'saund asset services', 'esco management', 'clima energie management', 'saund']	['unknown']	www.saund.eu	3512	Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water	1217AS	Hilversum	nan	nan	1.0	2020-12-22T16:19:55.972878+01:00
7	16081158	strukton rail equipment	['strukton railinfra materieel', 'technische dienst', 'strukton rail equipment', 'strukton & ns infra services materieel', 'strukton rail materieel']	['unknown']		3317	Reparatie en onderhoud van overige transportmiddelen	7202BX	Zutphen	nan	nan	35.0	2020-12-22T16:19:55.972934+01:00
8	41199548	apg	['stichting personeelspensioenfonds apg', 'stichting personeelpensioenfonds sfstichting personeelspensioenfonds sfstichting personeelspensioenfonds cordares', 'apg']	['unknown', 'sustainable_finance']		65301	Bedrijfstakpensioenfondsen	1043AP	Amsterdam	nan	nan	0.0	2020-12-22T16:19:55.972974+01:00
9	17045690	felix clercx handelsonderneming	['felix clercx handelsonderneming', 'handelsonderneming van felix clercx']	['unknown', 'gezond_binnenklimaat_van_gebouwen']	www.felixwood.nl,www.felixwood.nl	46731	Groothandel in hout en plaatmateriaal	5704RM	Helmond	nan	nan	27.0	2020-12-22T16:19:55.973012+01:00
