kvk_number	name	sbi_code	sbi_code_description	city	all_names
37158900	Veiligheidsregio Noord-Holland Noord	8425.0	Brandweer	Alkmaar	['veiligheidsregio noord-holland noord']
51158957	GGD Noord- en Oost-Gelderland	86923.0	Preventieve gezondheidszorg (geen arbobegeleiding)	Warnsveld	['ggd vestiging apeldoorggd noord- en oost-gelderland vestiging apeldoorggd gelre-ijssel', 'ggd noord- en oost-gelderland']
40477167	Nederlandse Vereniging voor Pathologie	9412.0	Beroepsorganisaties		['nederlandse vereniging voor pathologie']
18018770	bosch transmission technology	2932.0	Vervaardiging van niet-elektrische en -elektronische onderdelen en toebehoren voor auto's	Tilburg	['bosch transmission technology', 'bosch transmission technology an doornes transmissie']
41167550	ggmd	87301.0	Huizen en dagverblijven voor niet-verstandelijk gehandicapten	Rotterdam	['stichting voor geestelijke gezondheidszorg en maatschappelijke dienstverlening voor doven en slechthorendestichting regionaal educatief centrum leiden   en omstrekestichting regionaal educatief centrum rijnstreek', 'ggmd', 'ggmd voor doven en slechthorendeggmdds', 'stichting bureau dienstverlening doven en slechthorende', 'stichting bureau o & m']
30175547	intergo	86922.0	Arbobegeleiding en reïntegratie	Amersfoort	['intergo']
34270042	saund asset services	3512.0	Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water	Hilversum	['escoplan management en finance', 'saund asset services', 'esco management', 'clima energie management', 'saund']
16081158	strukton rail equipment	3317.0	Reparatie en onderhoud van overige transportmiddelen	Zutphen	['strukton rail materieel', 'strukton rail equipment', 'technische dienst', 'strukton & ns infra services materieel', 'strukton railinfra materieel']
41199548	apg	65301.0	Bedrijfstakpensioenfondsen	Amsterdam	['stichting personeelspensioenfonds apg', 'apg', 'stichting personeelpensioenfonds sfstichting personeelspensioenfonds sfstichting personeelspensioenfonds cordares']
17045690	felix clercx handelsonderneming	46731.0	Groothandel in hout en plaatmateriaal	Helmond	['felix clercx handelsonderneming', 'handelsonderneming van felix clercx']
66262968	vaco	81221.0	Glazenwassen	's-Gravendeel	['vaco', 'vacoaco cleaningaco']
60981334	Relay42	69105.0	Octrooibureaus	Amsterdam	['relay42 technology', 'relay42 netherlands', 'relay42']
38022390	Nefit	2451.0	Gieten van ijzer	Deventer	['nefit']
41180026	Accolade	8710.0	Verpleeghuizen	Bosch en Duin	['accolade automatisering', 'accolade zorggroep', 'stichting accolade zorggroep', 'gereformeerde stichting voor verpleging van langdurig ziekestichting gereformeerde zorg- en woon          voorzieningestichting gereformeerde zorg- en woooorzieningen/accolade zorggroep', 'stichting accolade zorg', 'accolade']
29027869	Intertoys Holland	4765.0	Winkels in speelgoed	Leeuwarden	['intertoys', 'intertoys holland', 'intertoys xl']
11069923	Rely	86923.0	Preventieve gezondheidszorg (geen arbobegeleiding)	Kesteren	['ideal & rely int', 'rely']
17172202	SVH	4333.0	Afwerking van vloeren en wanden	Valkenswaard	['svh', 'svh tegelwerkesvh tegelwerke']
50907514	Thales Transportation Systems	2611.0	Vervaardiging van elektronische componenten	Huizen	['thales transportation systems']
02059857	Hofland Deltaflex Rubbertechniek	2219.0	Vervaardiging van producten van rubber (geen banden)	Tolbert	['hofland deltaflex rubbertechniek', 'deltaflex heeneman', 'dni beheer']
64811492	B4Energy	3520.0	Productie van biogas	Warmenhuizen	['b4energy']
01050101	Ecoson	3832.0	Gesorteerd materiaal voorbereiden tot recycling	Son en Breugel	['ecoson', 'thermo kracht', 'restex bergum', 'ecosoecoson']
22051676	CAIW Holding	6190.0	Overige telecommunicatie	Schiedam	['delta mobiel', 'zeelandnet', 'delta fiber nederland', 'kabelfoocaiway shop naaldwijk', 'caiway', 'zeelandnet zakelijk', 'delta digitale tv', 'delta comfort', 'delta verbindt', 'wifi zeeland', 'delta zakelijk', 'delta zon garant', 'delta', 'delta kabelcomfort', 'delta fiber', 'caiw holding', 'wifispots van delta', 'delta comfort service', 'zeelandnet internet', 'delta fiber nederland/caiway', 'delta wifispots', 'cai-westland']
63793180	Mourik Groot-Ammers	4291.0	Natte waterbouw	Groot-Ammers	['combinatie mourik liebregts', 'combinatie mourik - fl', 'mourik groot-ammers']
60194561	Beverwijk	47918.0	Detailhandel via internet in overige non-food	Spijkenisse	['beverwijk', 'de vastgoed concurrent', 'doucheconcurrent beverwijk']
50325108	Ergatis	86922.0	Arbobegeleiding en reïntegratie	Nijmegen	['medische argumentatie', 'arbeidsgeneeskundige diagnostiek', 'ergatis']
60475056	TNT	8010.0	Particuliere beveiliging	Frieschepalen	['tnt', 'tnt security']
74442066	Flow	47918.0	Detailhandel via internet in overige non-food	Huissen	['flow']
08092271	Stichting Cryo-Save	86924.0	Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek	Amsterdam	['cryo-save', 'cryo-cell nederland', 'stichting cryo-save', 'tissue bank cryo-save']
58341609	Koëter Vastgoed Adviseurs	6831.0	Bemiddeling bij handel, huur of verhuur van onroerend goed	Geldrop	['koëter vastgoed adviseurs']
06023232	TenCate Grass Holding	2060.0	Vervaardiging van synthetische en kunstmatige vezels	Nijverdal	['tencate grass components europe', 'gebouwen exploitatie maatschappij spabor', 'ten cate thiolon', 'tencate grass holding']
20146393	Hima Benelux	46699.0	Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)	Breda	['hima benelux']
04079588	Stichting Personal Service Dogs	9609.0	Overige dienstverlening (rest)		['stichting personal service dogs']
24173299	Ecuri Cosmetics	4645.0	Groothandel in parfums en cosmetica	Capelle aan den IJssel	['ecuri cosmetics', 'nederlandse school voor permanent make-up']
53523393	Life Fitness	86919.0	Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers	Amersfoort	['life fitness', 'life force fitness instituut']
09008666	Low & Bonar	1395.0	Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)	Arnhem	['bonar', 'akzo industrial systems', 'low & bonar', 'colbond', 'akzo nobel nonwovens', 'akzo nobel geosynthetics']
20055481	Lei Import	46738.0	Groothandel gespecialiseerd in overige bouwmaterialen	Maasbracht	['lei import', 'lim - lei import maatschappij']
50302345	Stork Technical Services Nederland	33123.0	Reparatie en onderhoud van machines voor een specifieke bedrijfstak	Utrecht	['stork technical services nederland', 'stork wescostork technical services cooperheat', 'stork glt', 'stork specialists', 'stork projects & turnarounds', 'stork industry services', 'stork cooperheat', 'stork nederland', 'stork consultancy', 'stork industry services n1', 'regional business line europe', 'stork offshore']
